Title,Category,Body,Keywords,,,,,,,,,
"Table 4 Accent 5""/>  <w:LsdException Locked=""false"" Priority=""50"" Name=""List Table 5 Dark Accent 5""/>  <w:LsdException Locked=""false"" Priority=""51""   Name=""List Table 6 Colorful Accent 5""/>  <w:LsdException Locked=""false"" Priority=""52""   Name=""List Table 7 Colorful Accent 5""/>  <w:LsdException Locked=""false"" Priority=""46""   Name=""List Table 1 Light Accent 6""/>  <w:LsdException Locked=""false"" Priority=""47"" Name=""List Table 2 Accent 6""/>  <w:LsdException Locked=""false"" Priority=""48"" Name=""List Table 3 Accent 6""/>  <w:LsdException Locked=""false"" Priority=""49"" Name=""List Table 4 Accent 6""/>  <w:LsdException Locked=""false"" Priority=""50"" Name=""List Table 5 Dark Accent 6""/>  <w:LsdException Locked=""false"" Priority=""51""   Name=""List Table 6 Colorful Accent 6""/>  <w:LsdException Locked=""false"" Priority=""52""   Name=""List Table 7 Colorful Accent 6""/> </w:LatentStyles></xml><![endif]--><!-- [if gte mso 10]><style> /* Style Definitions */ table.MsoNormalTable	{mso-style-name:""Table Normal"";	mso-tstyle-rowband-size:0;	mso-tstyle-colband-size:0;	mso-style-noshow:yes;	mso-style-priority:99;	mso-style-parent:"""";	mso-padding-alt:0cm 5.4pt 0cm 5.4pt;	mso-para-margin:0cm;	mso-para-margin-bottom:.0001pt;	mso-pagination:widow-orphan;	font-size:10.0pt;	font-family:""Times New Roman""","serif;}</style><![endif]--></p><ul><li>Consider returning the licence plate to a <a href=""https://www.ontario.ca/page/services"">Service Ontario</a> location.</li><li>Alternatively"," this item should be placed in your Garbage Bin.</li></ul><p>&nbsp;</p><p><object id=""__symantecPKIClientMessenger"" style=""display: none;"" data-install-updates-user-configuration=""true"" data-extension-version=""0.4.0.129""></object></p>","licence plates, ",,,,,,,,,
Garbage (light bulbs),Garbage,<ul>  <li>Place item in the&nbsp;<strong>Garbage Bin.</strong></li> </ul>,"light bulb (incandescent or LED), incandescent light bulb, halogen light bulb, pot light bulb, flood light bulb, light-emitting diode, light emitting diode, LED, solar panels (small)",,,,,,,,,
Garbage (medical-related),Garbage,<ul>  <li>Place item in the&nbsp;<strong>Garbage Bin.</strong></li> </ul>,"diabetic test strips, glucose meter, glucometer, inhaler (empty), Ventolin (empty), puffer (empty), pill blister pack",,,,,,,,,
Garbage (mesh bag & wooden crate),Garbage,<ul>  <li>Place item in the&nbsp;<strong>Garbage Bin.</strong></li> </ul>,"mesh produce bag, plastic mesh bag, plastic netting bag for fruits, onions bag, oranges bag, clemenines bag, mandarin bag, burlap bag, rice bag, wooden crate, clementines crate, wooden basket, wooden fruit basket",,,,,,,,,
Garbage (mirror),Garbage,<ul><li>Large mirrors should be placed out in a safe manner for staff to collect.</li><li>Break down into smaller pieces and securely wrap broken glass and sharp objects in newspaper before placing the items in the Garbage Bin.</li></ul><p>&nbsp;</p>,"mirror, large mirror, tall mirror, oversized mirror, floor mirror",,,,,,,,,
Garbage (miscellaneous 1),Garbage,<ul><li>Place item in the&nbsp;<strong>Garbage Bin.</strong></li></ul>,"waxed cardboard box, wax board, waxed carton, stretchy plastic appliance packaging, tooth pick, toothpick, chewing gum, nylons, pantyhose, panty hose, water bed bladder, plastic drum, plastic barrel, stuffed animal, teddy bear, doll, chalk, glow stick, rubber dropper lid, receipt (thermal/shiny), plastic tampon applicator, plastic report cover, clear plastic report cover, empty gas can, empty gas container, space heater, empty pesticide bottles, empty motor oil containers
",,,,,,,,,
Garbage (miscellaneous 2),Garbage,<ul><li>Place item in the&nbsp;<strong>Garbage Bin.</strong></li></ul>,"plastic table cloth, vinyl table cloth, ear plugs, foam ear plugs, camera lens, glue bottle (empty), glue stick (empty), ant trap, garburator, debit card, credit card, plastic gift card, Metropass, Glade air freshener, solid air freshener, slide projection carousel, electric heating pad, hot water bottle, Plexiglas, Acrylite, Lucite, Perspex, Plexiglass, black plastic bags, black plastics",,,,,,,,,
Garbage (not recyclable at this time),Garbage,<ul>  <li>Place item in the&nbsp;<strong>Garbage Bin.</strong></li> </ul>,"electronic accessory, coaxial cable, headphones, battery charger, fibre optic cable, fiber optic cable, Mylar paper, Mylar polyester film, film, polyester film, static sheet, matte, overhead sheet, plastic sheet, plastic, plastic paint tray, plastic paint tray liner, pool noodle, foam pool noodle, bathroom scale, metal scale, glass scale, kitchen scale, plastic (black), foam (black)",,,,,,,,,
Garbage (outdoor),Garbage,<ul>  <li>Place item in the&nbsp;<strong>Garbage Bin.</strong></li> </ul>,"Treegator bag, garden sprinkler, clay flower pot, clay planter, garden hose, hose, rubber hose, vinyl hose, poisonous plant, noxious plant, invasive plant, garlic mustard plant, giant hogweed, hogweed, poison ivy, dog strangling vine, plastic shovel, plastic snow shovel, garden gloves, work gloves, rock salt, road salt,de-icer, ice salt",,,,,,,,,
Garbage (paper),Garbage,<ul><li>Place item in the&nbsp;<strong>Garbage Bin.</strong></li></ul>,"stickers, labels, photographs, photo, pictures, pic, print, x-ray, photographic paper, picture negatives, photo negatives, photo film, blueprint paper, blueprint, carbon paper, carbon tissue, carbonic paper, posters (laminated), laminated papers, paper envelope with fibre cushioning, scratch tickets, scratch lottery tickets,",,,,,,,,,
Garbage (pet-related),Garbage,<ul>  <li>Place item in the&nbsp;<strong>Garbage Bin.</strong></li> </ul>,"bird cage, aquarium, fish bowl, fish tank, aquarium sand, Kitty litter (non-organic), crystal kitty litter, silicone-based kitty litter, silica gel kitty litter",,,,,,,,,
Garbage (plastic paint pail),Garbage,<ul>  <li>Place item in the&nbsp;<strong>Garbage Bin.</strong></li>  <li>Empty hard plastic paint and sealant pails are not accepted in the Blue Bin<strong>.</strong></li> </ul>,"plastic paint pail, plastic driveway sealant container, plastic driveway tar container",,,,,,,,,
Garbage (plastic water cooler jug),Blue Bin,"<ul><li><span style=""mso-fareast-language: EN-CA;"">Place any black plastic in the Garbage Bin.</span></li><li>Place this empty", rinsed item, with lid on, in the Blue Bin.</li></ul>,"plastic water cooler jug, plastic water cooler bottle, 15 litre water cooler bottle, 18 litre water cooler bottle, 5 gallon water cooler bottle, 8 litre water cooler bottle",,,,,,
Garbage (remove batteries),Garbage,<ul><li>Place item in the <strong>Garbage Bin.</strong></li><li>Before placing this item in the Garbage Bin," remove the batteries for safe disposal as&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/"">Household Hazardous Waste (HHW).</a></li></ul>","smoke detectors, smoke alarms, alarms, carbon monoxide detectors, clocks, watches, clock radios, alarm clock,handheld calculators, toys (sex - any material), vibrators (any material), remote controls, TV remote controls, garage door opener remote, flashlights, vacuums, electronic calculators, adding machines",,,,,,,,
Garbage (reusable bag),Garbage,<ul>  <li>Place item in the <strong>Garbage Bin.</strong></li> </ul>,"plastic reusable bag, cloth reusable bag, cotton reusable bag, nylon reusable bag, polyester reusable bag, vinyl plastic bag, reusable shopping bag, reusable grocery bag",,,,,,,,,
Garbage (sports & recreation),Garbage,<ul>  <li>Place item in the <strong>Garbage Bin.</strong></li> </ul>,"helmet, trophy, tent, bicycle inner tube, bike tire, inner tube, rubber inner tube, playing cards, deck of playing cards, card deck",,,,,,,,,
Garbage (squeeze tube),Garbage,<ul><li>Place item in the <strong>Garbage Bin.</strong></li></ul>,"squeeze tube, plastic hand cream tube, plastic lotion tube, plastic shampoo tube, plastic sunscreen tube, plastic sunblock tube, plastic makeup tube, plastic make-up tube, empty metal tube, toothpaste tube, silicone plastic",,,,,,,,,
Garbage (stand-up pouch),Garbage,<ul><li>Place item in the <strong>Garbage Bin.</strong></li></ul>,"juice drink pouch, stand-up flexible pouch, frozen fruit bag (stand-up pouch), frozen vegetable bag (stand-up pouch), retort pouch, soap refill pouch, Capri-Sun pouch, beverage pouch, Bibo, Hi-C, fruit juice pouch, Kool-Aid Jammer",,,,,,,,,
Garbage (takeout coffee cup),Garbage,<ul><li>Place item in the <strong>Garbage Bin.</strong></li><li>If applicable, remove plastic lid and place in <strong>Blue Bin</strong>. Place black and compostable plastic lids and any straw in the <strong>Garbage Bin</strong>.</li></ul>,"coffee cup (takeout), coffee cup (paper), disposable coffee cup, Dixie cup, disposable hot beverage cup, Tim Hortons cup, Starbucks cup, wax lined coffee cup, wax coated coffee cup, hot drink paper cup, coffee cup (compostable), waxed paper cold drink cup",,,,,,,,
Garbage (toiletries),Garbage,<ul>  <li>Place item in the <strong>Garbage Bin.</strong></li> </ul>,"toiletries, soap, emery board, deodorant, antiperspirant, deoderant, baby wipe, wet nap, wet wipe, towelette, cleansing sheet, wipes, diaper wipe, face wipe, facial cleansing cloth,make-up removing cloth, make-up wipe, make-up pad, cosmetic pad, ",,,,,,,,,
Garbage (toiletries) 2,Garbage,<ul>  <li>Place item in the <strong>Garbage Bin.</strong></li> </ul>,"Q-tip, cotton-tipped swab, ear swab, ear cleaner, cotton swab, cotton buds, qtip, cotton ball, cotton swab, talcum powder, baby powder, detergent box, laundry detergent box, dish detergent box, metal floor register, metal floor vent",,,,,,,,,
Garbage (wrapping and tying),Garbage,<ul>  <li>Place item in the <strong>Garbage Bin.</strong></li> </ul>,"bread bag tag, milk bag tag, elastic band, rubber band, twist tie, rope, twine, string, hemp, ribbon, bow, burlap, staple, fastener, wire, florists wire, plastic tag, tape, duct tape, electrical tape, masking tape, scotch tape, painters tape, tape dispenser, chain, nylon, thread",,,,,,,,,
Garbage (wrapping/packaging),Garbage,<ul>  <li>Place item in the <strong>Garbage Bin.</strong></li> </ul>,"cellophane, bubbled plastic packaging, bubble gum wrap, bubble envelope, bubblewrap, metallic gift wrapping paper, foam packaging peanuts, packing peanuts, packing foam chips, foam packaging sheet, silage wrap, Instapak foam packaging",,,,,,,,,
Garbage Bin (broken glass & knives),Garbage,<ul>  <li>Broken glass and sharp objects can be hazardous to our collections staff.</li>  <li>Securely wrap broken glass and sharp objects in newspaper before placing the item in your <strong>Garbage Bin.</strong></li> </ul>,"mirror, mirror (broken), coffee maker (broken glass), ceramic dish (broken), paring knife, sharp knife, utensil, carving knife, knives, fork, can opener, nail, screw, nut, bolt",,,,,,,,,
"Garbage Bin (can be donated - art & craft material, games)",Garbage,"<ul><li>Consider donating items in good and working order to&nbsp;<a href=""https://www.toronto.ca/reduce-reuse/?accordion=not-for-profit-agencies-and-donations/"" target=""_blank"" rel=""noopener"">not-for-profit agencies</a>.</li><li>Items can also be dropped off for reuse at <a style=""background-color: #ffffff; font-family: 'Helvetica Neue'", Helvetica, Arial," sans-serif;"" href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener""> Community Environment Days</a><span style=""font-family: 'Helvetica Neue'", Helvetica, Arial," sans-serif;"">.</span></li><li>Alternatively", this item should be placed in the&nbsp;<strong>Garbage Bin.</strong></li></ul>,"art and craft materials, art supplies, button, sequin, bead, feather (fake), zipper, magnet, key, plasticine, playdo, modelling clay, play doh, playdough, crafts, wooden popsicle stick (clean), yarn, threads, fiber, spun wool, board game, puzzle, camp tarp",,
"Garbage Bin (can be donated - home d̩cor, lighting)",Garbage,"<ul><li>Consider donating items in good and working order to&nbsp;<a href=""https://www.toronto.ca/reduce-reuse/?accordion=not-for-profit-agencies-and-donations/"" target=""_blank"" rel=""noopener"">not-for-profit agencies</a>.</li><li>Items can also be dropped off for reuse at&nbsp;<a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener"">Community Environment Days</a>.</li><li>Alternatively", this item should be placed in the&nbsp;<strong>Garbage Bin.</strong></li></ul>,"picture frame, photo frame, light fixture, lamp, solar lamp, solar garden lamp, solar garden light, floor lamp",,,,,,,,
Garbage Bin (can be donated - home textiles),Garbage,"<ul><li>Consider donating items in good and working order to&nbsp;<a href=""https://www.toronto.ca/reduce-reuse/?accordion=not-for-profit-agencies-and-donations/"" target=""_blank"" rel=""noopener"">not-for-profit agencies</a>.</li><li>Items can also be dropped off for reuse at&nbsp;<a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener"">Community Environment Days</a>.</li><li>Alternatively", this item should be placed in the&nbsp;<strong>Garbage Bin.</strong></li></ul>,"linens, textiles, bedding, bed sheets, quilt, duvet, flags, table cloth, tablecloth, towel, microfibre cloth, microfiber cloth, cloth napkin, landscape fabric, cushion, window covering, blinds, curtains, drapes, curtain rod",,,,,,,,
Garbage Bin (can be donated - housewares 1),Garbage,"<ul><li>Consider donating items in good and working order to&nbsp;<a href=""https://www.toronto.ca/reduce-reuse/?accordion=not-for-profit-agencies-and-donations/"" target=""_blank"" rel=""noopener"">not-for-profit agencies</a>.</li><li>Items can also be dropped off for reuse at&nbsp;<a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener"">Community Environment Days</a>.</li><li>Alternatively", this item should be placed in the&nbsp;<strong>Garbage Bin.</strong></li></ul>,"housewares, dishes, plastic dish rack, drinking glass, cup, mug, metal cookware, pot, pan, kitchen utensil, flatware, flatware tray, frying pan, baking tray, Teflon pan, plate, tableware, stoneware, china, visionware, earthenware, pottery, ceramic dishes, glass dish, vase, glass vase, porcelain vase, crystal vase",,,,,,,,
Garbage Bin (can be donated - housewares 2),Garbage,"<ul><li>Consider donating items in good and working order to&nbsp;<a href=""https://www.toronto.ca/reduce-reuse/?accordion=not-for-profit-agencies-and-donations/"" target=""_blank"" rel=""noopener"">not-for-profit agencies</a>.</li><li>Items can also be dropped off for reuse at&nbsp;<a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener"">Community Environment Days</a>.</li><li>Alternatively", this item should be placed in the&nbsp;<strong>Garbage Bin.</strong></li></ul>,"ceramic vase, cutting board, wooden cutting board, plastic cutting board, metal cutlery",,,,,,,,
Garbage Bin (can be donated - miscellaneous),Garbage,"<ul><li>Consider donating items in good and working order to&nbsp;<a href=""https://www.toronto.ca/reduce-reuse/?accordion=not-for-profit-agencies-and-donations/"" target=""_blank"" rel=""noopener"">not-for-profit agencies</a>&nbsp;or at&nbsp;<a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener"">Community Environment Days</a>.</li><li>Alternatively"," this item should be placed in the&nbsp;<strong>Garbage Bin </strong>after removing any batteries and disposing them as&nbsp;<a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/"">Household Hazardous Waste",</a></li></ul>,"tools, power tool, drill, sander, hammer, screwdriver, wrench, pliers, saw, chisel, toys (any material), toy (any material), holiday decoration, Christmas bulbs, tinsel, Christmas tree ornament, decorations, clothes pin, clothes peg, instrument, drum (musical), matches, manual typewriter, sand filled weight, plastic dumbbell, picnic cooler, plastic cooler, garland (artificial), wreath (artificial)",,,,,,,
Garbage Bin (can be donated - school/office supplies),Garbage,"<ul><li>Consider donating items in good and working order to&nbsp;<a href=""https://www.toronto.ca/reduce-reuse/?accordion=not-for-profit-agencies-and-donations/"" target=""_blank"" rel=""noopener"">not-for-profit agencies</a>.</li><li>Items can also be dropped off for reuse at&nbsp;<a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener"">Community Environment Days</a>.</li><li>Alternatively", this item should be placed in the&nbsp;<strong>Garbage Bin.</strong></li></ul>,"binders, three ring binders, bookbinders, clipboards, pens, pencils, writing instruments, wooden pencils, mechanical pencils, markers, marker pens, marking pens, crayons, erasers, cerlox binding, comb binding, surelox binding, cork boards, stapler (plastic), scissors (plastic), photo albums",,,,,,,,
Garbage Bin (can be donated - sports equipment),Garbage,"<ul><li>Consider donating items in good and working order to&nbsp;<a href=""https://www.toronto.ca/reduce-reuse/"" target=""_blank"" rel=""noopener"">not-for-profit agencies</a>.</li><li>Items can also be dropped off for reuse at&nbsp;<a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener"">Community Environment Days</a>.</li><li>Alternatively", this item should be placed in the&nbsp;<strong>Garbage Bin.</strong></li></ul>,"sports equipment, sporting goods, soccer, baseball, baseball glove, sports glove, basketball, golf ball, football, tennis ball, bowling ball, volleyball, tennis racket, badminton racket, racquetball, racket, lacrosse stick, racquet, ice skates, inline skates, rollerblades, roller skates, figure skates, hockey skates, roller blades, skateboard, skates",,,,,,,,
Garbage Bin (can be donated),Garbage,"<ul><li class=""MsoNormal""><a name=""_GoBack""></a><span style=""font-size: 12.0pt; line-height: 107%; font-family: 'Arial'","sans-serif;"">Consider donating reusable items to non-profit organizations.</span></li><li class=""MsoNormal""><span style=""font-family: Arial"," sans-serif; font-size: 12pt;"">Alternatively", place this item in the <strong>Garbage Bin</strong>.</span></li></ul>,"clothing, clothes, unwanted clothes, footwear, shoe, runners, sneakers, boots, sandals, coat, jacket, dress, hat, scarf, scarves, shirt, sweater, pants, jeans, skirt, purse, hand bag, umbrella, life jacket, underwear, boxers, book bag, school bag, backpack, jewellery, jewelry, costume jewellery, watch, tie clips, cuff links, earrings, necklace, rings, costume, rags, slipper, slippers, clown wig, wig",,,,,,
Garbage Bin (ink toner cartridge),Garbage,"<ul>  <li>Consider returning the empty cartridge to the manufacturer or office supplies retailer such as <a href=""http://www.staples.ca/sbdca/en_CA/cre/marketing/staples_soul/environment.html#recycling_made_easy.htm"" target=""_blank"">Staples</a> for recycling.</li>  <li>Independently"," residents can collect empty ink jet cartridges and mail them back to the following: <a href=""https://www.terracycle.ca/en-CA/brigades/e-waste-brigade"" target=""_blank"">Inkjet &amp; Toner Cartridge Brigade</a>.</li>  <li>Alternatively", this item should be placed in your <strong>Garbage Bin</strong>.</li> </ul>,"ink toner cartridges, toner, ink jet, toner cartridges, laser cartridges, printer cartridges",,,,,,,
Garbage Bin (medical waste),Garbage,"<ul>  <li>Place the items inside two plastic bags (double-bagged) and place them in the&nbsp;<strong style=""font-family: 'Helvetica Neue'", Helvetica, Arial," sans-serif;"">Garbage Bin.</strong><span style=""font-family: 'Helvetica Neue'", Helvetica, Arial," sans-serif;""><br /></span></li> </ul>","colostomy bag, cast, splint, support, catheter, catheter bag, catheter line, dialysis waste, dialysis tube, dialysis bag, gastric tube, nasal tube, IV bag, IV tubing, sponge (healthcare), bandage, gauze, Band-Aid, intravenous tubing, intravenous bag, soiled dressing, disposable mask, disposable apron, disposable gown, disposable glove, disposable pad, disposable towel, disposable sheet",,,
Garbage Bin (or E-Days),Garbage,"<ul><li>Materials can also be dropped off for reuse at&nbsp;<a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener"">Community Environment Days</a>.</li><li>Alternatively", this items should be placed in the&nbsp;<strong>Garbage Bin.</strong></li></ul>,"wine corks, plastic wine corks, CD, compact disc, LP record, eyeglasses, eye glasses, eyeware, sun glasses, sunglasses, hearing aid, walking aid",,,,,,,,
Garbage Bin (Small Dead Animal),Garbage,<ul><li>To dispose of small animals like a dead bird, mouse or rat, do not touch the carcass with your bare hands.</li><li>Wear gloves or use a double plastic bag to pick it up and place carcass in another plastic bag and place it in the <strong>Garbage Bin</strong>.</li></ul>,"dead animal (small), dead mouse, dead rat, dead bird, carcass, remains",,,,,,,
Garbage Bin (small electrical appliances - donate if work),Garbage,"<ul><li>Consider donating items in good an working order to&nbsp;<a href=""https://www.toronto.ca/reduce-reuse/?accordion=not-for-profit-agencies-and-donations/"" target=""_blank"" rel=""noopener"">not-for-profit agencies</a>.</li><li>Items can also be dropped off for reuse at&nbsp;<a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener"">Community Environment Days</a>.</li><li>Alternatively", this item should be placed in the&nbsp;<strong>Garbage Bin.</strong></li></ul>,"small electric appliance, small household appliance, blender, hair dryer, curling iron, blow dryer, electric toothbrush, paper shredder, coffee maker, kettle, food processor, juicer, electric can opener, electric razor, indoor grill, toaster, toaster oven, popcorn maker",,,,,,,,
Garland,Yard Waste,<ul><li>Remove all decorations before placing this item out as <strong>Yard Waste.</strong></li><li>Place this item in a kraft paper yard waste bag, yard waste bin, or any open top," rigid reusable container with handles.</li><li>This item may be taken to a&nbsp;<a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"" rel=""noopener"">Drop-Off Depot</a> when Yard Waste collection is not available.</li></ul>","garland (real), wreath (real)",,,,,,
"Green Bin (cereal, grains & baked goods)",Green Bin,<ul>  <li>Place this item in your <strong>Green Bin.</strong></li>  <li>Line either your indoor container or outdoor Green Bin with a plastic bag or kraft paper bag. Do not line both.</li> </ul>,"cereal, grain, oatmeal, oats, porridge, gruel, corn bread, corn meal, pasta, bread, flour, baking supplies, spelt, kasha, pasta, noodles, orzo, couscous, semolina, rice, Uncle Ben's rice, baked good, sweets, dessert, cake, muffin, cookie, baking ingredient, bread, bun, crust, bread loaf, pastry, cupcake, Timbit, pie, tart, dough, wheat, pizza",,,,,,,,,
Green Bin (dairy),Green Bin,<ul>  <li>Place this item in your&nbsp;<strong>Green Bin.</strong></li>  <li>Line either your indoor container or outdoor Green Bin with a plastic bag or kraft paper bag. Do not line both.</li> </ul>,"dairy product, cheese, curd, brie, pudding, yogurt, yoghurt, yogourt, sour cream, dip, cream, ice cream, cheese, mozzarella",,,,,,,,,
"Green Bin (food - meat, fish & seafood)",Green Bin,<ul>  <li>Place this item in your&nbsp;<strong>Green Bin.</strong></li>  <li>Line either your indoor container or outdoor Green Bin with a plastic bag or kraft paper bag. Do not line both.</li> </ul>,"meat (raw and cooked), poultry, chicken, beef, pork, burger, steak, ham, bone, gristle, cartilage, fish (raw and cooked), lobster, seafood, shellfish, mollusc, bivalve, shrimp, seafood shell, mussels, crab, clam, oyster, periwinkles, scallop, snail, bi-valves, sea shells",,,,,,,,,
Green Bin (fruits and veggies),Green Bin,<ul><li>Place this item in the&nbsp;<strong>Green Bin.</strong></li></ul>,"fruit, produce, fruit core, fruit peels, fruit stone, fruit pit, dried fruit, rinds, vegetable, vegetable peels, veggies, lettuce, salad, salad dressing, corn cob, corn husk, popcorn, kernels, avocado peel & pit, avocado",,,,,,,,,
Green Bin (miscellaneous),Green Bin,<ul><li>Place this item in your&nbsp;<strong>Green Bin.</strong></li><li>Line either your indoor container or outdoor Green Bin with a plastic bag or kraft paper bag. Do not line both.</li></ul>,"food, snack, food scraps, leftovers, plate scrapings, coffee grounds, tea bag, tea, loose tea, tea leaves, Tetley tea, Red Rose tea, chicory, egg, eggshell, nuts, pecans, filbert, peanuts, almonds, pistachios, cashews, coconuts, nut shells, seeds, candy, chocolate, candy cane,  fries, french fries, pencil shavings, Paper straw (without wax/plastic lining)",,,,,,,,,
Green Bin (packaging),Green Bin,<ul>  <li>Place this item in your&nbsp;<b>Green Bin.</b></li>  <li>Line either your indoor container or outdoor Green Bin with a plastic bag or kraft paper bag. Do not line both.</li> </ul>,"pizza box (greasy), paper plate (soiled), Chinet paper plate (soiled), paper bag, brown Kraft bag, cellulose lined paper bag, paper food packaging (soiled), paper takeout container, paper coffee filter, muffin paper cup, muffin wrapper, cupcake paper cup, cupcake wrapper, paper flour bag, paper popcorn bag, fries box, paper ice cream carton, ice cream box, BBQ charcoal bag",,,,,,,,,
Green Bin (pets),Green Bin,<ul><li>Place this item in your&nbsp;<strong>Green Bin.</strong></li><li>Line either your indoor container or outdoor Green Bin with a plastic bag or kraft paper bag. Do not line both.</li></ul>,"pet food, nibbles, dog food, cat food, rawhide chews, dog treat, dog bone, bird seed, bird feed, kitty litter (organic), animal bedding, cat litter, pet litter, clay litter, clay kitty litter, pet waste, excrement, feces, animal droppings, doggie doo, dog pooh, dog poo, dog poop, pet diaper, puppy diaper, dog diaper, wood pellet cat litter",,,,,,,,,
Green Bin (plant material),Green Bin,<ul>  <li>Place this item in your&nbsp;<b>Green Bin.</b></li>  <li>Line either your indoor container or outdoor Green Bin with a plastic bag or kraft paper bag. Do not line both.</li> </ul>,"house plant (including soil), potted plant (including soil), dead plant (including soil), cactus (including soil), potting soil, flower, flower bouquet, cut flowers, dried flower",,,,,,,,,
"Green Bin (spreads, sauces, flavourings)",Green Bin,<ul>  <li>Place this item in your&nbsp;<b>Green Bin.</b></li>  <li>Line either your indoor container or outdoor Green Bin with a plastic bag or kraft paper bag. Do not line both.</li> </ul>,"sauce, au jus, condiments, gravy, sugar, spices, herb, honey, syrup, herbs, grease, fat (solid), lard, butter, margarine, shortening, mayonnaise, Miracle Whip, peanut butter, spread, jam, jelly",,,,,,,,,
"Green Bin (tissues, napkins, diapers, pads etc.)",Green Bin,<ul><li>Place this item in your&nbsp;<strong>Green Bin.</strong></li><li>Place baby wipes in the <strong>Garbage Bin</strong>.</li><li>Line either your indoor container or outdoor Green Bin with a plastic bag or kraft paper bag. Do not line both.</li></ul>,"facial tissue, tissues, Kleenex, paper towel, kraft paper towel, paper napkin, serviette, diaper, Pampers, nappy, Pull-ups, Diaper Genie bag, adult diaper, puppy training pad, incontinence pad, Depends diapers, feminine hygiene products, tampon, maxi pad, pad, sanitary napkin, disposable absorbent pad, Kotex, Tampax, sanitary liner",,,,,,,,,
HHW (batteries - Orange Drop items 1),HHW,"<ul><li>This item is <a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/"" target=""_self"">Household Hazardous Waste (HHW)</a>&nbsp;and MUST NOT be placed in your Garbage Bin"," Blue Bin or Green Bin.</li><li>Please take this item to one of the City's <a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/drop-off-depots/"">Drop-Off Depots</a> or <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener""> Community Environment Days</a>.</li><li>For HHW between 10 to 50 litres/kilograms"," residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/html/household_hazardous_waste.htm"">online</a> or by calling 311.</li><li>Residents can also check the <a href=""http://www.makethedrop.ca."" target=""_blank"" rel=""noopener"">Orange Drop Program</a>&nbsp;and&nbsp;<a href=""http://www.call2recycle.ca/"">call2recycle</a>.</li></ul>","household batteries, AA battery, AAA battery, C battery, D battery, 9V battery, button cell battery, alkaline-manganese battery, lithium battery, silver oxide battery, zinc air battery, zinc carbon battery, lead acid battery, CopperTop, Duracell, Energizer, ni-cads, rechargeable battery, nickel cadmium battery",,,,,,,
HHW (batteries - Orange Drop items 2),HHW,"<ul><li>This item is <a href=""https://www.toronto.ca/services-payments/recycling-organics-garbage/household-hazardous-waste/"" target=""_self"">Household Hazardous Waste (HHW)</a>&nbsp;and MUST NOT be placed in your Garbage Bin"," Blue Bin or Green Bin.</li><li>Please take this item to one of the City's&nbsp;<a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"" rel=""noopener"">Drop-Off Depots</a>&nbsp;or&nbsp;<a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank"" rel=""noopener"">Community Environment Days</a>.</li><li>For HHW between 10 to 50 litres/kilograms"," residents can also request a free Toxic Taxi pick-up&nbsp;<a href=""https://secure.toronto.ca/webwizard/html/household_hazardous_waste.htm"">online</a>&nbsp;or by calling 311.</li><li>Residents can also check the&nbsp;<a href=""http://www.makethedrop.ca./"" target=""_blank"" rel=""noopener"">Orange Drop Program</a>&nbsp;and&nbsp;<a href=""http://www.call2recycle.ca/"">call2recycle</a>.</li></ul>","electronic greeting card, musical greeting card, electronic cigarette, e cigarettes, e-cigarettes, hearing aid battery, portable cell phone charger, cell phone battery pack",,,,,,,
